"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2010","Thousand","6.4"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2011","Thousand","6.6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2012","Thousand","6.7"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2013","Thousand","6.8"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2014","Thousand","6.9"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2015","Thousand","7.2"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2016","Thousand","7.5"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-East","2017","Thousand","7.8"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","1996","Thousand","5.5"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","1997","Thousand","5.8"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","1998","Thousand","6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","1999","Thousand","6.2"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2000","Thousand","6.2"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2001","Thousand","6.4"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2002","Thousand","6.6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2003","Thousand","6.6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2004","Thousand","6.8"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2005","Thousand","7"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2006","Thousand","7.5"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2007","Thousand","7.6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2008","Thousand","8"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2009","Thousand","8.3"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2010","Thousand","8.6"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2011","Thousand","8.9"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2012","Thousand","9.1"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2013","Thousand","9.1"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2014","Thousand","9.4"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2015","Thousand","9.9"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2016","Thousand","10.2"
"Estimated Population (Persons in April)","85 years and over","Both sexes","South-West","2017","Thousand","10.5"
"Estimated Population (Persons in April)","85 years and over","Male","State","1996","Thousand","10.6"
"Estimated Population (Persons in April)","85 years and over","Male","State","1997","Thousand","11"
"Estimated Population (Persons in April)","85 years and over","Male","State","1998","Thousand","11.4"
"Estimated Population (Persons in April)","85 years and over","Male","State","1999","Thousand","11.5"
"Estimated Population (Persons in April)","85 years and over","Male","State","2000","Thousand","11.8"
"Estimated Population (Persons in April)","85 years and over","Male","State","2001","Thousand","12.2"
"Estimated Population (Persons in April)","85 years and over","Male","State","2002","Thousand","12.5"
"Estimated Population (Persons in April)","85 years and over","Male","State","2003","Thousand","12.6"
"Estimated Population (Persons in April)","85 years and over","Male","State","2004","Thousand","13.2"
"Estimated Population (Persons in April)","85 years and over","Male","State","2005","Thousand","14"
"Estimated Population (Persons in April)","85 years and over","Male","State","2006","Thousand","14.8"
"Estimated Population (Persons in April)","85 years and over","Male","State","2007","Thousand","15.2"
"Estimated Population (Persons in April)","85 years and over","Male","State","2008","Thousand","15.9"
"Estimated Population (Persons in April)","85 years and over","Male","State","2009","Thousand","16.8"
"Estimated Population (Persons in April)","85 years and over","Male","State","2010","Thousand","17.7"
"Estimated Population (Persons in April)","85 years and over","Male","State","2011","Thousand","18.4"
"Estimated Population (Persons in April)","85 years and over","Male","State","2012","Thousand","19"
"Estimated Population (Persons in April)","85 years and over","Male","State","2013","Thousand","19.3"
"Estimated Population (Persons in April)","85 years and over","Male","State","2014","Thousand","20.3"
"Estimated Population (Persons in April)","85 years and over","Male","State","2015","Thousand","21.4"
"Estimated Population (Persons in April)","85 years and over","Male","State","2016","Thousand","23"
"Estimated Population (Persons in April)","85 years and over","Male","State","2017","Thousand","24.3"
"Estimated Population (Persons in April)","85 years and over","Male","Border","1996","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Border","1997","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Border","1998","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Border","1999","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2000","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2001","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2002","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2003","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2004","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2005","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2006","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2007","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2008","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2009","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2010","Thousand","2.5"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2011","Thousand","2.5"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2012","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2013","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2014","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2015","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2016","Thousand","2.9"
"Estimated Population (Persons in April)","85 years and over","Male","Border","2017","Thousand","3.1"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","1996","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","1997","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","1998","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","1999","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2000","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2001","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2002","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2003","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2004","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2005","Thousand","0.9"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2006","Thousand","0.9"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2007","Thousand","0.9"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2008","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2009","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2010","Thousand","1.1"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2011","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2012","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2013","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2014","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2015","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2016","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Midland","2017","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","West","1996","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","West","1997","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","West","1998","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","West","1999","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","West","2000","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","West","2001","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","West","2002","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","West","2003","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","West","2004","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","West","2005","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","West","2006","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","West","2007","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","West","2008","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","West","2009","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","West","2010","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","West","2011","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","West","2012","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","West","2013","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","West","2014","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","West","2015","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","West","2016","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","West","2017","Thousand","2.9"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","1996","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","1997","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","1998","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","1999","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2000","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2001","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2002","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2003","Thousand","2.6"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2004","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2005","Thousand","2.9"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2006","Thousand","3.2"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2007","Thousand","3.3"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2008","Thousand","3.4"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2009","Thousand","3.9"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2010","Thousand","4.1"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2011","Thousand","4.4"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2012","Thousand","4.6"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2013","Thousand","4.9"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2014","Thousand","5.2"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2015","Thousand","5.6"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2016","Thousand","5.9"
"Estimated Population (Persons in April)","85 years and over","Male","Dublin","2017","Thousand","6.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","1996","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","1997","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","1998","Thousand","0.7"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","1999","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2000","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2001","Thousand","0.8"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2002","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2003","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2004","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2005","Thousand","1.1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2006","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2007","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2008","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2009","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2010","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2011","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2012","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2013","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2014","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2015","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2016","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-East","2017","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","1996","Thousand","0.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","1997","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","1998","Thousand","1.1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","1999","Thousand","1.1"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2000","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2001","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2002","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2003","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2004","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2005","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2006","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2007","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2008","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2009","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2010","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2011","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2012","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2013","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2014","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2015","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2016","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","Mid-West","2017","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","1996","Thousand","1"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","1997","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","1998","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","1999","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2000","Thousand","1.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2001","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2002","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2003","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2004","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2005","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2006","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2007","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2008","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2009","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2010","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2011","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2012","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2013","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2014","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2015","Thousand","2.5"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2016","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","South-East","2017","Thousand","2.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","1996","Thousand","1.1"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","1997","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","1998","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","1999","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2000","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2001","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2002","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2003","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2004","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2005","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2006","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2007","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2008","Thousand","2.5"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2009","Thousand","2.5"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2010","Thousand","2.7"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2011","Thousand","2.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2012","Thousand","2.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2013","Thousand","2.8"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2014","Thousand","3"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2015","Thousand","3.2"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2016","Thousand","3.4"
"Estimated Population (Persons in April)","85 years and over","Male","South-West","2017","Thousand","3.6"
"Estimated Population (Persons in April)","85 years and over","Female","State","1996","Thousand","24.1"
"Estimated Population (Persons in April)","85 years and over","Female","State","1997","Thousand","24.9"
"Estimated Population (Persons in April)","85 years and over","Female","State","1998","Thousand","26"
"Estimated Population (Persons in April)","85 years and over","Female","State","1999","Thousand","26.8"
"Estimated Population (Persons in April)","85 years and over","Female","State","2000","Thousand","27.6"
"Estimated Population (Persons in April)","85 years and over","Female","State","2001","Thousand","28.2"
"Estimated Population (Persons in April)","85 years and over","Female","State","2002","Thousand","29.2"
"Estimated Population (Persons in April)","85 years and over","Female","State","2003","Thousand","29.3"
"Estimated Population (Persons in April)","85 years and over","Female","State","2004","Thousand","30.2"
"Estimated Population (Persons in April)","85 years and over","Female","State","2005","Thousand","31.7"
"Estimated Population (Persons in April)","85 years and over","Female","State","2006","Thousand","33.1"
"Estimated Population (Persons in April)","85 years and over","Female","State","2007","Thousand","34.2"
"Estimated Population (Persons in April)","85 years and over","Female","State","2008","Thousand","36"
"Estimated Population (Persons in April)","85 years and over","Female","State","2009","Thousand","37.2"
"Estimated Population (Persons in April)","85 years and over","Female","State","2010","Thousand","38.5"
"Estimated Population (Persons in April)","85 years and over","Female","State","2011","Thousand","39.8"
"Estimated Population (Persons in April)","85 years and over","Female","State","2012","Thousand","41.1"
"Estimated Population (Persons in April)","85 years and over","Female","State","2013","Thousand","41.4"
"Estimated Population (Persons in April)","85 years and over","Female","State","2014","Thousand","42.4"
"Estimated Population (Persons in April)","85 years and over","Female","State","2015","Thousand","43.5"
"Estimated Population (Persons in April)","85 years and over","Female","State","2016","Thousand","44.4"
"Estimated Population (Persons in April)","85 years and over","Female","State","2017","Thousand","45.3"
"Estimated Population (Persons in April)","85 years and over","Female","Border","1996","Thousand","2.8"
"Estimated Population (Persons in April)","85 years and over","Female","Border","1997","Thousand","3.2"
"Estimated Population (Persons in April)","85 years and over","Female","Border","1998","Thousand","3.3"
"Estimated Population (Persons in April)","85 years and over","Female","Border","1999","Thousand","3.4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2000","Thousand","3.5"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2001","Thousand","3.6"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2002","Thousand","3.8"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2003","Thousand","3.9"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2004","Thousand","4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2005","Thousand","4.3"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2006","Thousand","4.4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2007","Thousand","4.5"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2008","Thousand","4.7"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2009","Thousand","4.8"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2010","Thousand","5"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2011","Thousand","5.2"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2012","Thousand","5.4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2013","Thousand","5.4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2014","Thousand","5.4"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2015","Thousand","5.5"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2016","Thousand","5.5"
"Estimated Population (Persons in April)","85 years and over","Female","Border","2017","Thousand","5.5"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","1996","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","1997","Thousand","1.3"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","1998","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","1999","Thousand","1.4"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2000","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2001","Thousand","1.5"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2002","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2003","Thousand","1.6"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2004","Thousand","1.7"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2005","Thousand","1.8"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2006","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2007","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2008","Thousand","2"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2009","Thousand","2.1"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2010","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2011","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2012","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2013","Thousand","2.3"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2014","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2015","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2016","Thousand","2.4"
"Estimated Population (Persons in April)","85 years and over","Female","Midland","2017","Thousand","2.2"
"Estimated Population (Persons in April)","85 years and over","Female","West","1996","Thousand","3.8"
"Estimated Population (Persons in April)","85 years and over","Female","West","1997","Thousand","2.9"
"Estimated Population (Persons in April)","85 years and over","Female","West","1998","Thousand","3.1"
"Estimated Population (Persons in April)","85 years and over","Female","West","1999","Thousand","3.2"
"Estimated Population (Persons in April)","85 years and over","Female","West","2000","Thousand","3.4"
"Estimated Population (Persons in April)","85 years and over","Female","West","2001","Thousand","3.5"
"Estimated Population (Persons in April)","85 years and over","Female","West","2002","Thousand","3.7"
"Estimated Population (Persons in April)","85 years and over","Female","West","2003","Thousand","3.8"
"Estimated Population (Persons in April)","85 years and over","Female","West","2004","Thousand","3.8"
"Estimated Population (Persons in April)","85 years and over","Female","West","2005","Thousand","4"
"Estimated Population (Persons in April)","85 years and over","Female","West","2006","Thousand","4.1"
"Estimated Population (Persons in April)","85 years and over","Female","West","2007","Thousand","4.2"
"Estimated Population (Persons in April)","85 years and over","Female","West","2008","Thousand","4.4"
"Estimated Population (Persons in April)","85 years and over","Female","West","2009","Thousand","4.5"
"Estimated Population (Persons in April)","85 years and over","Female","West","2010","Thousand","4.6"
"Estimated Population (Persons in April)","85 years and over","Female","West","2011","Thousand","4.7"
"Estimated Population (Persons in April)","85 years and over","Female","West","2012","Thousand","4.8"
"Estimated Population (Persons in April)","85 years and over","Female","West","2013","Thousand","4.8"
"Estimated Population (Persons in April)","85 years and over","Female","West","2014","Thousand","5"
"Estimated Population (Persons in April)","85 years and over","Female","West","2015","Thousand","5"
"Estimated Population (Persons in April)","85 years and over","Female","West","2016","Thousand","5.1"
"Estimated Population (Persons in April)","85 years and over","Female","West","2017","Thousand","5.3"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","1996","Thousand","3"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","1997","Thousand","6.9"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","1998","Thousand","7.2"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","1999","Thousand","7.2"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2000","Thousand","7.4"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2001","Thousand","7.4"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2002","Thousand","7.6"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2003","Thousand","7.6"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2004","Thousand","7.7"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2005","Thousand","8"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2006","Thousand","8.4"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2007","Thousand","8.8"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2008","Thousand","9.4"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2009","Thousand","9.6"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2010","Thousand","9.9"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2011","Thousand","10.3"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2012","Thousand","10.6"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2013","Thousand","11"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2014","Thousand","11.4"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2015","Thousand","11.9"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2016","Thousand","12.3"
"Estimated Population (Persons in April)","85 years and over","Female","Dublin","2017","Thousand","12.7"
"Estimated Population (Persons in April)","85 years and over","Female","Mid-East","1996","Thousand","6.7"
"Estimated Population (Persons in April)","85 years and over","Female","Mid-East","1997","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Female","Mid-East","1998","Thousand","1.9"
"Estimated Population (Persons in April)","85 years and over","Female","Mid-East","1999","Thousand","2"
